Info 0    [22:58:00.749] Starting TS Server
Info 1    [22:58:00.750] Version: 4.4.4
Info 2    [22:58:00.750] Arguments: /usr/bin/node /home/wzrdd/.node_modules/bin/tsserver --logFile /home/wzrdd/Semestre/TIC/proyecto/virtual-port/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/441c3949047f37626008a6ad017c9c5e/tscancellation*
Info 3    [22:58:00.750] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [22:58:00.750] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [22:58:00.885] Search path: /home/wzrdd/Semestre/TIC/proyecto/virtual-port
Info 6    [22:58:00.886] For info: /home/wzrdd/Semestre/TIC/proyecto/virtual-port/index.js :: No config files found.
Info 7    [22:58:00.892] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [22:58:07.018] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 6125.766621999443ms
Info 9    [22:58:07.019] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [22:58:07.019] 	Files (19)

Info 11   [22:58:07.019] -----------------------------------------------
Info 12   [22:58:07.052] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [22:58:07.059] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 6.526696998625994ms
Info 14   [22:58:07.059] Different program with same set of files
Info 15   [22:58:07.061] getCompletionData: Get current token: 0.009879998862743378
Info 16   [22:58:07.061] getCompletionData: Is inside comment: 0.21719900146126747
Info 17   [22:58:07.061] getCompletionData: Get previous token: 0.35065000131726265
Info 18   [22:58:07.069] getExportInfoMap: cache miss or empty; calculating new results
Info 19   [22:58:07.069] getExportInfoMap: done in 0.8070060014724731 ms
Info 20   [22:58:07.069] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 21   [22:58:07.069] collectAutoImports: response is complete
Info 22   [22:58:07.069] collectAutoImports: 0.09186699986457825
Info 23   [22:58:07.069] getCompletionData: Semantic work: 7.969783999025822
Info 24   [22:58:07.109] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 39.0560349971056
Info 25   [22:58:07.127] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [22:58:07.131] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 4.444694001227617ms
Info 27   [22:58:07.131] Different program with same set of files
Info 28   [22:58:07.132] getCompletionData: Get current token: 0.006572999060153961
Info 29   [22:58:07.132] getCompletionData: Is inside comment: 0.019738998264074326
Info 30   [22:58:07.132] getCompletionData: Get previous token: 0.09288400039076805
Info 31   [22:58:07.132] getCompletionsAtPosition: isCompletionListBlocker: 0.1839120015501976
Info 32   [22:58:07.132] Returning an empty list because completion was requested in an invalid position.
Info 33   [22:58:07.133] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 34   [22:58:07.136] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 3.4754889979958534ms
Info 35   [22:58:07.136] Different program with same set of files
Info 36   [22:58:07.138] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [22:58:07.142] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 3.703744001686573ms
Info 38   [22:58:07.142] Different program with same set of files
Info 39   [22:58:07.145] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [22:58:07.155] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: true structureIsReused:: SafeModules Elapsed: 9.338334999978542ms
Info 41   [22:58:07.155] Different program with same set of files
Info 42   [22:58:07.157] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 43   [22:58:08.190] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: true structureIsReused:: SafeModules Elapsed: 1031.9523259997368ms
Info 44   [22:58:08.190] Project '/dev/null/inferredProject1*' (Inferred)
Info 45   [22:58:08.190] 	Files (104)

Info 46   [22:58:08.190] -----------------------------------------------
Info 47   [22:58:08.224] Format host information updated
Info 48   [22:58:08.224] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [22:58:08.231] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 7.053475998342037ms
Info 50   [22:58:08.231] Different program with same set of files
Info 51   [22:59:13.934] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [22:59:13.944] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 9.343899998813868ms
Info 53   [22:59:13.944] Different program with same set of files
Info 54   [22:59:14.412] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 55   [22:59:14.464] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: true structureIsReused:: SafeModules Elapsed: 51.03888100013137ms
Info 56   [22:59:14.464] Project '/dev/null/inferredProject1*' (Inferred)
Info 57   [22:59:14.464] 	Files (105)

Info 58   [22:59:14.464] -----------------------------------------------
Info 59   [22:59:15.014] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [22:59:15.039] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: true structureIsReused:: SafeModules Elapsed: 24.727886002510786ms
Info 61   [22:59:15.039] Project '/dev/null/inferredProject1*' (Inferred)
Info 62   [22:59:15.039] 	Files (104)

Info 63   [22:59:15.039] -----------------------------------------------
Info 64   [22:59:15.670] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 65   [22:59:15.691] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: true structureIsReused:: SafeModules Elapsed: 20.56275599822402ms
Info 66   [22:59:15.691] Project '/dev/null/inferredProject1*' (Inferred)
Info 67   [22:59:15.691] 	Files (105)

Info 68   [22:59:15.691] -----------------------------------------------
Info 69   [22:59:16.500] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [22:59:16.523] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: true structureIsReused:: SafeModules Elapsed: 22.87194899842143ms
Info 71   [22:59:16.523] Project '/dev/null/inferredProject1*' (Inferred)
Info 72   [22:59:16.523] 	Files (96)

Info 73   [22:59:16.523] -----------------------------------------------
Info 74   [22:59:16.916] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 75   [22:59:16.921] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 4.587085001170635ms
Info 76   [22:59:16.921] Different program with same set of files
Info 77   [22:59:17.836] Format host information updated
Info 78   [22:59:26.418] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 79   [22:59:26.429] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 10.864702001214027ms
Info 80   [22:59:26.429] Different program with same set of files
Info 81   [22:59:26.433] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 82   [22:59:26.444] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 10.875405997037888ms
Info 83   [22:59:26.444] Different program with same set of files
Info 84   [22:59:29.383] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 85   [22:59:29.396] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 13.17501799762249ms
Info 86   [22:59:29.396] Different program with same set of files
Info 87   [22:59:32.133] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 88   [22:59:32.140] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 6.159268997609615ms
Info 89   [22:59:32.140] Different program with same set of files
Info 90   [22:59:33.386] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 91   [22:59:33.391] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 5.030296001583338ms
Info 92   [22:59:33.391] Different program with same set of files
Info 93   [22:59:33.901] Format host information updated
Info 94   [22:59:34.103] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
